"semanticResourceURN";"Code Value";"resourceSubTypeCode";"Code List";"Domain";"ExternalLink";"codeName";"Definition";"changeLog";"Status";"Version";"Change Date";"changeLogComment"
"urn:gs1:gdd:cl:Action";;"CODELIST";"Action";"EPCIS";;;;"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:Action:ADD";"add";"CODEVALUE";"Action";"EPCIS";;;"Not Available";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:Action:DELETE";"delete";"CODEVALUE";"Action";"EPCIS";;;"Not Available";"NEW";"CURRENT";2;;
"urn:gs1:gdd:cl:Action:OBSERVE";"observe";"CODEVALUE";"Action";"EPCIS";;;"Not Available";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalConsignmentIdentificationTypeCode";;"CODELIST";"AdditionalConsignmentIdentificationTypeCode";"Shared";;;"Code list developed and managed by GS1.";"NEW";"CURRENT";1;01/03/2012;
"urn:gs1:gdd:cl:AdditionalConsignmentIdentificationTypeCode:CARRIER_ASSIGNED";"CARRIER_ASSIGNED";"CODEVALUE";"AdditionalConsignmentIdentificationTypeCode";"Shared";;"Carrier assigned";"An internal identifier assigned by the carrier.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalConsignmentIdentificationTypeCode:CONSIGNEE_ASSIGNED";"CONSIGNEE_ASSIGNED";"CODEVALUE";"AdditionalConsignmentIdentificationTypeCode";"Shared";;"Consignee assigned";"An internal identifier assigned by the consignee.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalConsignmentIdentificationTypeCode:CONSIGNOR_ASSIGNED";"CONSIGNOR_ASSIGNED";"CODEVALUE";"AdditionalConsignmentIdentificationTypeCode";"Shared";;"Cosignor assigned";"An internal identifier assigned by the consignor.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalConsignmentIdentificationTypeCode:FREIGHT_FORWARDER_ASSIGNED";"FREIGHT_FORWARDER_ASSIGNED";"CODEVALUE";"AdditionalConsignmentIdentificationTypeCode";"Shared";;"Freight forwarder assigned";"An internal identifier assigned by the freight forwarder.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalIndividualAssetIdentificationTypeCode";;"CODELIST";"AdditionalIndividualAssetIdentificationTypeCode";"Shared";;;"Code list developed and managed by GS1.";"NEW";"CURRENT";1;01/03/2012;
"urn:gs1:gdd:cl:AdditionalIndividualAssetIdentificationTypeCode:INDUSTRY_ASSIGNED";"INDUSTRY_ASSIGNED";"CODEVALUE";"AdditionalIndividualAssetIdentificationTypeCode";"Shared";;"Industry assigned";"An identifier assigned by a sector specific agency for the individual asset.";"NEW";"CURRENT";1;;
"urn:gs1:gdd:cl:AdditionalIndividualAssetIdentificationTypeCode:OWNER_ASSIGNED";"OWNER_ASSIGNED";"CODEVALUE";"AdditionalIndividualAssetIdentificationTypeCode";"Shared";;"Owner assigned";"An internal identifier assigned by the party that owns the asset.";"NEW";"CURRENT";1;;
